RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets
-103.0,0.0591699999999999,7.0,0.1001899999999999,6.0,5.0,23.55,0.0,149.0,0.0,0.0,0.0,0.0,0.0,8,31.0
-103.0,0.0534276,7.0,0.0986829999999999,6.0,5.0,21.575,177.0,32.0,0.0,0.0,0.05,0.0,0.0472,51,62.0
-103.0,0.05325,7.0,0.088724,6.0,5.0,19.52,0.0,149.0,0.0,0.0,0.0,0.0,0.0,119,14.0
-103.34408602150538,0.0494728,7.0,0.0796186,6.0,33.84,20.595,27005.0,32614.0,2842.93,4.84,20.26,4.5662,19.1132,34,1.0
-104.0,0.0440899999999999,7.0,0.0715824,6.0,49.2,18.435,25603.0,39246.0,3533.35,6.39,26.34,6.0284,24.849,22,0.0
-104.0,0.0396389,7.0,0.06494,6.0,10.14,21.725,4314.0,925.0,31.24,1.83,0.42,1.7266,0.3964,7,0.0
-104.0,0.03882,7.0,0.0629280999999999,6.0,5.0,29.15,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,13,0.0
-104.0,0.03882,7.0,0.0565194999999999,6.0,5.0,26.06,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,0,21.0
-104.6,0.0385484,7.0,0.0508116,6.0,5.0,27.2,960.0,149.0,0.0,0.0,0.0,0.0,0.0,14,52.0
-105.0,0.0361252999999999,7.0,0.0460629,6.27,14.69,20.73,9031.0,8059.0,432.52,1.37,4.18,1.2924,3.943400000000001,31,21.0
-105.0,0.04811,7.0,0.0414172,7.28,15.74,20.67,2652.0,4592.0,214.42,0.22,1.51,0.2075999999999999,1.4247,94,2.0
-105.45,0.0455126,7.0,0.0371979999999999,8.3,7.7,21.88,1412.0,2650.0,124.49,1.25,0.36,1.1794,0.3397,140,0.0
-106.0,0.0433,7.0,0.0345099999999999,9.0,5.2,19.135,354.0,452.0,7.42,0.05,0.1,0.0472,0.0944,124,0.0
-106.0,0.0410484,7.0,0.0323365,9.63,5.12,19.885,687.0,479.0,5.24,0.26,0.28,0.2453,0.2643,49,5.0
-106.0,0.03897,7.0,0.030905,10.05,5.0,22.45,177.0,255.0,0.0,0.0,0.0,0.0,0.0,47,14.0
-106.0,0.036162,7.0,0.02796,11.0,5.0,22.16,177.0,46.0,0.0,0.05,0.0,0.0472,0.0,15,4.0
-108.3804347826087,0.03507,7.0,0.025776,10.22,5.0,16.795,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,35,3.0
-109.0,0.0326199999999999,7.0,0.0231691999999999,9.21,11.85,17.62,2181.0,1993.0,66.84,0.6,1.41,0.5661,1.3303,11,2.0
-109.0,0.0926569999999999,7.0,0.0221427999999999,9.22,9.05,20.49,708.0,4621.0,216.58,0.15,1.5,0.1416,1.4150999999999998,8,1.0
-109.0,0.1314855,6.55,0.020278,10.05,5.24,21.165,4858.0,366.0,32.92,0.05,0.05,0.0472,0.0472,41,0.0
-109.8,0.1652344,6.0,0.0182302,11.06,9.05,20.17,5314.0,3494.0,159.7,1.3,1.11,1.2265,1.0472,16,0.0
-110.0,0.1998862,6.0,0.016378,12.08,20.59,18.595,8351.0,11775.0,600.57,2.67,1.36,2.519,1.283,12,4.0
-110.0,0.21103,6.0,0.01486,13.0,13.56,20.74,11312.0,4181.0,212.84,3.36,0.62,3.1698000000000004,0.5851,20,1.0
-110.0,0.2027158,6.0,0.0163658999999999,13.37,15.6,22.705,123250.0,4986.0,240.37,22.21,0.1,20.9529,0.0944,17,0.0
-110.09,0.1922476,6.0,0.018113,14.43,21.17,19.94,390506.0,8251.0,490.98,68.11,3.19,64.2547,3.0094,17,5.0
-111.0,0.1773396,6.0,0.018515,15.45,14.06,20.545,229386.0,8493.0,301.99,35.52,1.3,33.5094,1.2266,15,11.0
-111.0,0.1595403,6.0,0.0193759,16.47,21.2,19.71,34390.0,11109.0,634.49,6.37,2.27,6.0095,2.1416,18,16.0
-111.0,0.1531499,6.0,0.0411843999999999,17.0,7.34,20.555,56083.0,1494.0,62.14,9.84,0.37,9.283,0.3492,18,3.0
-111.52173913043478,0.1388,6.0,0.0674277,17.0,11.66,23.79,9244.0,5575.0,263.96,1.82,0.52,1.717,0.4906,19,213.0
-114.0,0.1353299999999999,6.0,0.0632799999999999,17.0,5.0,21.435,10164.0,504.0,4.05,2.02,0.25,1.9057,0.236,13,260.0
-114.0,0.126528,6.0,0.0707997999999999,17.0,21.46,15.945,36985.0,6727.0,465.29,5.77,5.94,5.4435,5.6038,24,46.0
-114.0,0.1383209999999999,6.0,0.106556,17.0,8.95,19.365,114973.0,2487.0,131.22,20.41,0.05,19.2547,0.0472,10,28.0
-114.0,0.124362,6.0,0.1243206,17.0,37.18,19.6,376549.0,10083.0,572.35,63.08,2.55,59.5094,2.4059,15,21.0
-114.0,0.1118118,6.0,0.1524576,16.12,34.97,19.445,386152.0,10590.0,651.15,65.2,3.53,61.5094,3.3304,22,8.0
-114.0,0.1008097,6.0,0.1570334,15.11,30.68,20.515,379750.0,9051.0,414.44,63.08,2.98,59.5094,2.8113,4,9.0
-114.0,0.0941799999999999,6.0,0.1476405,15.0,13.91,21.18,129332.0,5902.0,257.85,23.69,1.39,22.349,1.3114,10,25.0
-114.0,0.0852309999999999,6.0,0.1389838,15.0,24.98,19.565,122639.0,6153.0,363.63,23.29,2.77,21.9718,2.6132,22,207.0
-114.0,0.0803504,6.0,0.1450319999999999,15.0,13.03,17.52,46408.0,3158.0,130.0,7.77,0.49,7.3302,0.4623999999999999,19,261.0
-114.0,0.0958372,6.0,0.1573755999999999,14.14,14.17,21.635,101712.0,4121.0,167.29,16.72,1.69,15.773599999999998,1.5944,1,280.0
-114.93,0.1072837999999999,6.0,0.1514132,14.0,13.86,18.215,85864.0,4466.0,210.01,15.84,2.36,14.9434,2.2265,51,154.0
-115.0,0.0997325,6.0,0.135985,14.0,16.68,18.175,306.0,3815.0,167.62,0.05,1.26,0.0472,1.1887,17,56.0
-115.61290322580643,0.089023,6.0,0.1255955999999999,14.0,11.59,19.99,261366.0,7001.0,319.17,46.84,1.7,44.1887,1.6038,9,59.0
-116.0,0.081453,6.0,0.1220005,14.0,8.7,18.81,88369.0,2232.0,101.42,16.13,0.95,15.217,0.8965000000000001,18,59.0
-116.0,0.0733835999999999,6.0,0.1212509999999999,14.0,8.67,25.045,86285.0,2065.0,53.16,14.32,0.39,13.5094,0.3681,19,45.0
-116.0,0.0659732,6.0,0.1142983999999999,14.0,13.79,22.24,56424.0,3732.0,140.1,11.48,0.63,10.8302,0.5946,16,61.0
-115.37,0.06441,6.0,0.1057608999999999,14.0,7.36,18.775,98051.0,1616.0,47.77,17.88,0.36,16.8681,0.3398,8,1.0
-115.0,0.0835079999999999,6.0,0.1009327999999999,14.0,11.38,21.83,82343.0,2718.0,109.18,19.67,0.88,18.5566,0.8303,17,189.0
-115.0,0.0753844,6.0,0.0946922,14.0,15.9,18.255,78901.0,5056.0,221.72,13.78,0.25,13.0001,0.236,16,49.0
-115.0,0.0683265,6.0,0.091618,14.0,7.75,17.43,61127.0,1432.0,55.97,11.28,0.41,10.6415,0.3868999999999999,14,61.0
-115.0,0.0617999999999999,6.0,0.0914812,14.0,21.05,19.51,102937.0,5052.0,241.45,17.57,0.0,16.575499999999998,0.0,23,54.0
-115.0,0.0578448,6.0,0.0822499999999999,14.0,11.05,21.93,81549.0,2759.0,110.23,14.66,0.95,13.8302,0.8964,14,57.0
-115.0,0.0517836,6.0,0.0753692,14.0,11.08,21.9,89055.0,3145.0,126.63,15.29,0.35,14.4245,0.3303999999999999,17,57.0
-115.0,0.0465529999999999,6.7,0.0718135999999999,14.0,10.51,19.83,76139.0,2416.0,80.53,17.01,0.64,16.0472,0.6039,21,55.0
-115.0,0.0418999999999999,7.0,0.0655025,14.0,23.1,18.14,92962.0,3658.0,176.17,14.85,0.93,14.0095,0.8772999999999999,18,27.0
-113.0,0.0382764,7.0,0.0591312,14.0,8.06,19.69,82093.0,2128.0,85.72,14.4,1.31,13.5849,1.236,23,87.0
-113.0,0.034373,7.0,0.0531605999999999,14.13,12.71,21.345,75129.0,2999.0,102.21,12.59,0.9,11.8774,0.8493,11,57.0
-113.0,0.0314951999999999,7.0,0.047801,15.14,12.2,20.79,50353.0,2809.0,126.51,6.41,0.0,6.0472,0.0,14,61.0
-112.2,0.0295599999999999,7.0,0.042976,15.85,16.57,16.665,177.0,209.0,0.0,0.0,0.0,0.0,0.0,17,53.0
-112.0,0.0447818,7.0,0.0386019,15.17,13.91,18.06,204464.0,3537.0,164.43,29.87,1.61,28.1793,1.519,1,64.0
-112.0,0.0467232,7.0,0.0388911,16.0,8.55,18.93,35568.0,7258.0,350.27,5.4,1.73,5.0944,1.6323,54,48.0
-112.0,0.0439925,7.0,0.06204,16.0,6.65,17.16,109184.0,3569.0,172.5,15.8,1.35,14.9057,1.2736999999999998,37,61.0
-112.0,0.0398386,7.0,0.0958104,16.0,14.7,21.1,184759.0,4585.0,190.59,29.91,0.85,28.217,0.8019,17,35.0
-112.0,0.0365499999999999,7.0,0.103033,16.0,9.25,20.38,80848.0,2334.0,93.8,12.87,0.35,12.1416,0.3303999999999999,40,0.0
-112.0,0.0329266,7.0,0.1084272,16.0,10.02,18.04,91984.0,2760.0,110.61,14.57,0.59,13.7454,0.5567,16,130.0
-112.0,0.0297645,7.0,0.1179035,16.0,6.6,23.465,82635.0,1261.0,37.49,13.37,0.2,12.6132,0.1888,13,36.0
-112.0,0.0266696,7.0,0.1123935999999999,16.0,14.98,21.705,82570.0,4258.0,193.01,14.05,1.65,13.2547,1.5567000000000002,19,1.0
-112.36559139784946,0.0243789999999999,7.0,0.1019699999999999,16.0,7.0,22.465,91534.0,1710.0,48.89,13.65,0.3,12.8774,0.2832,18,200.0
-113.0,0.02194,7.0,0.092576,16.0,12.32,19.05,66487.0,3140.0,152.55,9.57,0.48,9.0284,0.4529999999999999,12,57.0
-113.0,0.0195711999999999,7.0,0.1116144,16.0,7.85,17.135,88157.0,2037.0,79.79,15.34,1.02,14.4718,0.9624,30,64.0
-113.0,0.0486127,7.0,0.1333899999999999,16.0,7.76,19.475,102556.0,1940.0,82.84,14.67,0.56,13.8396,0.5284,6,30.0
-113.0,0.150089,6.1,0.1597834,15.01,5.9,21.775,51955.0,878.0,20.25,8.08,0.34,7.6227,0.3208,15,63.0
-113.0,0.2382988,6.0,0.158674,14.2,16.67,22.84,73404.0,4366.0,187.35,11.32,0.49,10.6793,0.4624,17,73.0
-113.0,0.2320474,6.0,0.1445492,14.0,11.85,20.94,124351.0,2856.0,118.54,24.33,0.58,22.9529,0.5474,31,59.0
-113.0,0.2094872,6.0,0.1351904,14.0,11.99,18.21,79927.0,2343.0,125.34,14.44,1.8,13.6227,1.6981,34,52.0
-113.0,0.2026664,6.0,0.141045,14.0,9.15,19.805,39308.0,2297.0,76.95,7.96,0.89,7.5095,0.8397,15,62.0
-113.0,0.1838192,6.0,0.1356836,14.0,12.75,18.32,122453.0,3209.0,139.06,23.55,0.8,22.217,0.7549000000000001,26,29.0
-113.0,0.1691589999999999,6.0,0.1231831,14.0,11.22,18.9,82108.0,2993.0,120.03,13.69,1.44,12.9151,1.3585999999999998,14,79.0
-113.0,0.1538086,6.0,0.1106235,14.0,9.75,17.735,80848.0,2494.0,77.89,15.86,0.62,14.9623,0.5852,18,51.0
-113.0,0.1442574999999999,6.0,0.1092473999999999,14.0,7.6,18.17,49666.0,1168.0,47.87,9.22,0.0,8.6981,0.0,1,72.0
-113.0,0.1345399999999999,6.0,0.1072255,14.0,8.58,19.36,35295.0,7282.0,364.47,7.52,1.92,7.0944,1.8115,56,47.0
-112.06,0.1207267,6.0,0.0983989999999999,14.0,13.5,18.675,229586.0,5895.0,282.59,39.81,0.86,37.5566,0.8114,15,55.0
-112.0,0.1085439999999999,6.0,0.0930347999999999,14.0,20.51,19.56,118428.0,12252.0,588.78,21.9,3.33,20.660500000000003,3.1415,25,59.0
-112.0,0.0980799999999999,6.0,0.0845105,14.0,12.7,19.835,56847.0,2946.0,126.1,10.83,0.2,10.217,0.1888,18,55.0
-112.0,0.0878487999999999,6.0,0.075905,14.0,17.59,19.865,87027.0,18914.0,1005.59,16.78,4.27,15.8302,4.0289,16,29.0
