RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets,label
-114.41,0.0728999999999999,9.0,0.0474947,9.0,5.0,24.04,0.0,116.0,0.0,0.0,0.0,0.0,0.0,5,27.0,0
-107.0,0.0728999999999999,9.0,0.0426087999999999,9.0,5.0,19.66,0.0,116.0,0.0,0.0,0.0,0.0,0.0,8,96.0,0
-105.0,0.072171,9.0,0.0382652,9.0,6.2,16.7,123.0,333.0,7.14,0.0,0.44,0.0,0.4151999999999999,5,11.0,0
-105.0,0.0680072,8.74,0.0355718,9.27,5.63,18.425,1153.0,523.0,28.13,0.05,0.49,0.0472,0.4623999999999999,10,13.0,0
-105.0,0.0828725999999999,7.0,0.0334447999999999,10.24,34.1,17.855,24786.0,21228.0,1156.34,5.55,7.48,5.2362,7.056700000000001,4,40.0,0
-105.0,0.07564,7.0,0.0349587999999999,11.06,39.08,21.395,41910.0,33403.0,2350.01,5.04,14.55,4.7549,13.7266,10,13.0,0
-104.67,0.0683068,7.0,0.0313972,12.08,11.98,22.67,7080.0,4628.0,161.45,0.43,0.98,0.4058,0.9246,19,7.0,0
-104.0,0.0620872,7.0,0.0281765,13.11,21.03,22.135,21433.0,32437.0,2086.03,6.0,11.98,5.6606000000000005,11.302,14,1.0,0
-104.0,0.0556303999999999,7.0,0.0259259999999999,14.13,27.3,22.01,2456.0,35694.0,3885.46,0.38,12.02,0.3584999999999999,11.3397,4,6.0,0
-104.0,0.0501809999999999,7.0,0.0274214999999999,15.15,14.39,21.36,6798.0,24338.0,1214.03,1.86,5.61,1.7548,5.2924,9,10.0,0
-104.0,0.0460587999999999,7.0,0.02675,16.17,9.39,21.95,1338.0,3942.0,182.32,0.05,2.3,0.0472,2.17,2,8.0,0
-104.0,0.0444911999999999,7.0,0.0371937,17.0,9.04,21.405,354.0,18447.0,1673.51,0.0,7.1,0.0,6.698,1,4.0,0
-104.0,0.0402,7.0,0.051661,17.0,10.25,21.92,1869.0,25815.0,656.27,0.48,2.33,0.4529999999999999,2.1984,1,5.0,0
-104.0,0.036196,7.0,0.0542493999999999,17.0,15.51,21.45,7374.0,18041.0,877.04,1.06,3.28,1.0002,3.0944,0,9.0,0
-104.0,0.03256,7.0,0.067795,17.0,7.81,21.06,1773.0,6963.0,315.37,0.33,0.38,0.3112999999999999,0.3586,0,8.0,0
-104.0,0.02944,7.0,0.0836458,17.0,9.28,21.89,885.0,26021.0,1319.58,0.1,3.93,0.0944,3.7076,0,14.0,0
-103.07,0.0263829,7.0,0.0850739999999999,17.0,5.06,21.87,1339.0,1160.0,11.65,0.23,0.2,0.2171,0.1888,0,14.0,0
-103.0,0.0236448,7.0,0.0934865999999999,17.0,12.39,21.28,5856.0,13182.0,645.63,2.3,2.1,2.17,1.9812,0,1.0,0
-103.0,0.0212108999999999,7.0,0.1121474999999999,17.0,9.88,21.615,3910.0,10920.0,517.89,0.83,1.31,0.7831,1.236,0,9.0,0
-103.0,0.01923,7.0,0.1168599999999999,17.0,16.88,21.495,9019.0,29606.0,1577.81,1.02,5.84,0.9624,5.5093,0,2.0,0
-103.0,0.0174351,7.0,0.119334,17.0,9.3,21.485,4473.0,2390.0,139.62,1.55,1.64,1.4623,1.5473,0,1.0,0
-103.0,0.0157603,7.0,0.128024,16.8,9.21,19.28,898.0,2092.0,33.11,0.05,0.46,0.0472,0.434,0,0.0,0
-103.0,0.0141129999999999,7.0,0.1525599999999999,16.0,6.5,18.5,6229.0,1070.0,35.58,0.65,0.2,0.6132,0.1888,0,0.0,0
-103.0,0.012984,7.0,0.1616274999999999,15.07,6.8,18.41,2243.0,1363.0,42.42,0.6,0.25,0.5661,0.236,4,0.0,0
-102.68,0.0118452999999999,7.0,0.1657983999999999,14.49,5.0,21.62,453.0,168.0,2.03,0.0,0.0,0.0,0.0,1,0.0,0
-102.0,0.01135,7.0,0.1691499999999998,14.0,5.0,21.535,177.0,207.0,4.96,0.05,0.0,0.0472,0.0,6,0.0,0
