RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets,label
-103.6236559139785,0.0558586,7.0,0.1210299999999999,6.0,5.0,23.96,177.0,32.0,0.0,0.0,0.05,0.0,0.0472,0,15.0,1
-105.0,0.05314,7.0,0.113286,6.0,5.0,23.5,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0,20.0,1
-105.0,0.0499009,7.0,0.101736,6.0,8.29,23.1,6026.0,2415.0,102.8,1.31,1.32,1.236,1.2453999999999998,0,2.0,1
-104.07,0.0491272,7.0,0.094766,6.0,12.79,22.44,5247.0,6138.0,294.36,0.61,4.09,0.5757,3.8584,0,9.0,1
-104.0,0.0461813,7.0,0.0867991999999999,6.0,13.43,21.705,2848.0,2514.0,112.66,0.23,1.72,0.2171,1.6228,0,3.0,1
-103.44,0.0424602999999999,7.0,0.0787921,6.0,10.98,19.535,5495.0,1909.0,81.29,1.26,0.37,1.1888,0.3491999999999999,10,0.0,1
-103.0,0.0383355999999999,7.0,0.0708328,6.0,9.58,18.925,3819.0,1200.0,44.75,2.32,0.71,2.1888,0.6701,71,8.0,1
-103.0,0.0362399999999999,7.0,0.0670094,6.0,5.0,18.455,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,30,9.0,1
-103.0,0.0362399999999999,7.0,0.0602519999999999,6.0,5.0,18.11,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,0,25.0,1
-103.0,0.0331268,7.0,0.054115,6.17,23.42,19.39,15587.0,14759.0,910.85,2.11,10.41,1.9907,9.8209,0,12.0,1
-103.0,0.0300772,7.0,0.0486572,7.18,23.7,19.42,19567.0,18284.0,1001.28,3.28,10.26,3.0945,9.6792,0,1.0,1
-103.0,0.0269785999999999,7.0,0.0436979999999999,8.2,24.52,21.025,4558.0,20684.0,1174.68,1.0,11.15,0.9435,10.5188,0,0.0,1
-103.0,0.0246511999999999,7.0,0.04013,9.0,5.6,20.34,2840.0,360.0,6.2,0.13,0.14,0.1226999999999999,0.1321,0,0.0,1
-100.80645161290325,0.0231611999999999,7.0,0.0380447999999999,9.52,5.0,19.94,177.0,209.0,0.0,0.05,0.0,0.0472,0.0,0,0.0,1
-100.0,0.0213999999999999,7.0,0.0341705999999999,9.46,5.0,21.8,177.0,255.0,0.0,0.0,0.05,0.0,0.0472,0,0.0,1
-100.0,0.0213999999999999,7.0,0.0313724999999999,9.0,5.0,20.02,0.0,193.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1
-100.0,0.0213999999999999,7.0,0.0281759,9.0,5.0,16.42,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,17,0.0,1
-100.0,0.0213999999999999,7.0,0.0253305999999999,9.0,5.0,21.01,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,4,0.0,1
-100.0,0.0213999999999999,7.0,0.0227756999999999,9.0,5.0,21.825,0.0,209.0,0.0,0.0,0.0,0.0,0.0,6,0.0,1
-100.0,0.0213999999999999,7.0,0.0204566999999999,9.0,5.0,19.465,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,21,0.0,1
-100.0,0.0213999999999999,7.0,0.0183743999999999,9.0,5.0,18.85,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,28,0.0,1
-100.0,0.0213999999999999,7.0,0.0165188,9.0,5.0,23.3,0.0,209.0,0.0,0.0,0.0,0.0,0.0,35,0.0,1
-100.0,0.0213999999999999,7.0,0.0148479999999999,9.0,5.0,23.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,54,0.0,1
-100.0,0.020544,7.0,0.013332,9.0,5.0,20.27,177.0,193.0,0.0,0.05,0.05,0.0472,0.0472,91,0.0,1
-100.0,0.0188933,7.0,0.0119852,9.0,5.0,19.24,177.0,255.0,0.0,0.0,0.1,0.0,0.0944,112,19.0,1
-100.0,0.01733,7.0,0.0110023,9.0,5.0,23.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,130,53.0,1
-100.0,0.0147732,7.0,0.0088856,10.32,39.4,21.845,46399.0,28127.0,1661.23,10.92,12.21,10.3021,11.5187,117,17.0,1
-100.0,0.01334,7.0,0.0079812,11.34,15.4,22.075,7503.0,8045.0,247.21,1.87,0.82,1.7644,0.7737999999999999,158,0.0,1
-100.0,0.01264,7.0,0.0072524999999999,11.75,5.0,22.29,0.0,209.0,0.0,0.0,0.0,0.0,0.0,145,0.0,1
-100.0,0.01264,7.0,0.0065158,10.74,5.0,21.5,0.0,209.0,0.0,0.0,0.0,0.0,0.0,132,0.0,1
-100.0,0.01264,7.0,0.0058519999999999,9.72,5.0,21.5,0.0,209.0,0.0,0.0,0.0,0.0,0.0,96,0.0,1
-100.0,0.01264,7.0,0.0052634,9.0,5.0,21.375,0.0,209.0,0.0,0.0,0.0,0.0,0.0,84,0.0,1
-100.0,0.0119669,7.0,0.0047281,9.0,5.0,20.865,177.0,209.0,0.0,0.0,0.05,0.0,0.0472,128,0.0,1
-100.0,0.0112683,7.0,0.0042492,9.0,5.0,20.5,177.0,255.0,0.0,0.05,0.0,0.0472,0.0,101,0.0,1
-100.0,0.01024,7.0,0.0038954,9.0,5.0,20.55,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,87,6.0,1
-100.0,0.009828,7.0,0.0035023999999999,9.16,14.41,20.945,7874.0,13521.0,698.97,2.25,4.18,2.1227,3.9435,106,12.0,1
-100.0,0.0088052,7.0,0.0031456,10.17,21.95,20.38,6262.0,10968.0,563.27,0.74,2.99,0.6981999999999999,2.8209,104,3.0,1
-100.0,0.0081572,7.0,0.0028538999999999,11.09,5.88,20.81,885.0,841.0,291.66,0.2,0.93,0.1888,0.8774,112,24.0,1
-101.0,0.0073045999999999,7.0,0.0025613999999999,12.11,16.55,21.84,14363.0,12361.0,339.55,1.36,2.61,1.2832,2.4623000000000004,98,3.0,1
