RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_NumberOfPackets,DL_NumberOfPackets,label
-104.0,0.05314,9.0,0.1811849000000001,6.0,17.24,24.34,0.0,76.0,0.0,0.0,0.05,0.0,0.0472,1,79.0,1
-104.0,0.05314,9.0,0.2408873999999999,6.0,9.68,23.76,0.0,76.0,0.0,0.0,0.0,0.0,0.0,13,49.0,1
-104.38709677419357,0.05314,9.0,0.238539,6.0,5.0,23.5,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0,10.0,1
-105.0,0.0498478,9.0,0.2142189,6.0,7.79,22.345,745.0,430.0,16.44,0.05,0.75,0.0472,0.7075999999999999,5,8.0,1
-105.0,0.0476387999999999,8.92,0.2049646,6.0,5.0,21.045,177.0,181.0,0.0,0.0,0.05,0.0,0.0472,10,24.0,1
-105.0,0.0430499999999999,7.0,0.185978,6.0,5.0,20.5,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,11,14.0,1
-105.0,0.0430499999999999,7.0,0.1672116,6.0,5.0,20.62,0.0,149.0,0.0,0.0,0.0,0.0,0.0,27,29.0,1
-105.0,0.0430499999999999,7.0,0.150339,6.0,5.0,21.37,0.0,149.0,0.0,0.0,0.0,0.0,0.0,27,12.0,1
-105.0,0.0430499999999999,7.0,0.1350256,6.0,5.0,20.5,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,27,80.0,1
-105.0,0.039171,7.0,0.1212781,6.0,44.78,20.055,45350.0,33645.0,2586.2,7.55,26.85,7.122999999999999,25.3302,10,32.0,1
-105.0,0.0351409,7.0,0.1089254999999999,6.0,43.42,20.04,22613.0,17654.0,1019.34,5.85,8.42,5.519,7.9434,0,15.0,1
-104.31,0.0315545,7.0,0.0979328,6.0,15.97,20.095,5197.0,4465.0,211.09,0.73,2.07,0.6888000000000001,1.953,18,15.0,1
-104.0,0.0289935999999999,7.0,0.0879621999999999,6.0,13.24,21.335,7401.0,2451.0,92.79,1.21,2.24,1.1416,2.1133,27,18.0,1
-104.0,0.0260686,7.0,0.0790036,6.0,25.79,18.58,9368.0,20780.0,1370.52,4.19,15.67,3.953,14.7828,10,2.0,1
-104.0,0.0233879999999999,7.0,0.0710272,6.0,23.87,17.65,9223.0,13176.0,741.89,1.18,7.4,1.1134,6.9812,0,27.0,1
-104.0,0.0871134,7.0,0.063856,6.0,30.98,18.86,22621.0,20680.0,1213.2,3.06,12.8,2.8869,12.0754,15,11.0,1
-101.0,1.1269459999999996,6.0,0.1477799999999999,13.0,7.35,19.46,36216.0,961.0,20.65,10.05,0.17,9.4812,0.1604,92,18.0,1
-101.0,1.111942,6.0,0.1362515999999999,13.0,10.37,19.71,15159.0,9232.0,426.73,3.1,2.08,2.9245,1.9623,87,5.0,1
-101.0,1.1008573,6.0,0.1290099999999999,13.0,11.28,21.545,58310.0,6651.0,296.54,11.76,1.62,11.0944,1.5282999999999998,90,8.0,1
-101.0,1.0919425,6.0,0.1196999999999999,13.0,5.0,19.065,50674.0,315.0,3.25,9.75,0.0,9.1981,0.0,82,5.0,1
-101.0,1.0822249,6.0,0.1098846,13.0,11.85,19.035,27452.0,2258.0,80.56,6.55,1.06,6.1792,1.0,77,16.0,1
-101.0,1.074161,6.0,0.0986831999999999,12.16,16.18,19.09,90236.0,24565.0,1147.79,14.53,7.42,13.7075,7.0,102,1.0,1
-101.0,1.0640048000000002,6.0,0.094438,12.0,21.58,16.925,102432.0,35869.0,2863.73,16.96,14.18,16.0,13.3772,87,9.0,1
-101.0,1.0586448,6.0,0.0848156,12.0,22.41,20.435,97663.0,4864.0,239.16,18.56,2.1,17.5094,1.9811,107,1.0,1
-103.0,1.0464075,6.0,0.076175,12.0,24.94,25.41,221248.0,7107.0,329.06,37.73,2.06,35.5943,1.9434,93,8.0,1
-103.0,0.973728,6.0,0.0684175999999999,12.0,16.82,20.45,231176.0,6563.0,311.54,40.94,2.36,38.622600000000006,2.2264,102,6.0,1
-103.0,0.8779850000000002,6.0,0.0615111999999999,12.0,18.07,19.315,250638.0,8086.0,385.63,46.41,1.6,43.783,1.5095999999999998,97,12.0,1
-102.99,0.7890726999999998,6.0,0.0552479999999999,12.0,40.96,21.375,260634.0,74580.0,9591.18,49.36,28.97,46.5661,27.3304,93,21.0,1
-102.0,0.7144824,6.0,0.0496723999999999,12.36,24.67,17.745,291337.0,8420.0,396.77,46.23,3.05,43.6132,2.8775,93,54.0,1
-102.0,0.6430699999999999,6.0,0.0446106,13.38,29.48,18.42,316249.0,7621.0,380.33,64.31,2.37,60.6696,2.2359,103,13.0,1
-102.0,0.5781329000000002,6.0,0.0401097999999999,14.39,31.0,19.825,341576.0,8930.0,425.11,60.8,3.51,57.35850000000001,3.3112,105,13.0,1
-102.0,0.5191854000000001,6.0,0.0405776,15.41,25.06,20.085,334405.0,7579.0,372.48,59.93,1.49,56.5378,1.4056,93,2.0,1
-102.0,0.466762,6.0,0.0477004,16.0,30.06,19.82,370110.0,9740.0,444.8,62.75,3.78,59.1981,3.5662000000000003,88,21.0,1
-102.0,0.4191704,6.0,0.0515884,16.0,26.36,19.05,363645.0,8208.0,388.97,60.73,2.05,57.2925,1.934,80,68.0,1
-102.0,0.3768364000000001,6.0,0.0516913999999999,16.0,30.71,18.49,382951.0,9835.0,484.96,65.2,1.98,61.5094,1.8679,91,1.0,1
-101.08,0.3384064999999999,6.0,0.0493100999999999,16.47,31.5,19.29,380903.0,9501.0,497.98,64.41,3.9,60.7641,3.6793,88,18.0,1
-101.0,0.3038986999999998,6.0,0.0565366,17.0,25.15,18.63,383767.0,8199.0,457.46,64.41,2.47,60.7641,2.3303,75,1.0,1
-100.45,0.2732072,6.0,0.0691199999999999,17.0,22.31,19.2,386152.0,9838.0,412.47,63.87,2.9,60.2547,2.7358,92,285.0,1
-100.0,0.2453448,6.0,0.078766,17.0,15.22,20.745,380903.0,8088.0,373.76,65.47,1.53,61.7641,1.4434,95,275.0,1
-100.0,0.2205684999999999,6.0,0.0810932,17.0,16.67,22.755,386152.0,7855.0,365.92,64.14,1.39,60.5094,1.3115,96,240.0,1
-100.0,0.1980682,6.0,0.0762523999999999,17.0,23.83,20.27,386152.0,6135.0,358.55,63.87,1.06,60.2547,1.0001,89,267.0,1
-100.0,0.1776897999999999,6.0,0.0784257999999999,17.0,25.17,20.11,379750.0,6099.0,398.68,64.14,3.34,60.5094,3.1509000000000005,89,259.0,1
-100.0,0.1595902,6.0,0.0954651999999999,17.0,17.33,22.36,390506.0,5340.0,305.79,64.68,0.82,61.0188,0.7737,97,279.0,1
-100.0,0.143488,6.0,0.106148,17.0,25.05,17.945,382951.0,6866.0,405.87,63.08,2.42,59.5094,2.283,100,238.0,1
-100.0,0.1288725,6.0,0.1263363999999999,17.0,23.15,21.41,376549.0,5888.0,368.46,62.29,2.09,58.7641,1.9716,92,306.0,1
-100.0,0.1158704,6.0,0.1409677,17.0,14.17,22.565,386152.0,7229.0,356.36,66.26,2.72,62.5094,2.5661,82,269.0,1
-100.0,0.1040708,6.0,0.1371764999999999,17.0,12.24,22.275,390506.0,5852.0,260.84,65.74,0.48,62.0188,0.4529999999999999,100,263.0,1
-100.0,0.0935703999999999,6.0,0.1378846,17.0,19.7,22.795,376549.0,6808.0,316.26,64.93,2.5,61.2547,2.3586,82,322.0,1
-100.0,0.08413,6.0,0.1308889,17.0,11.34,21.73,380566.0,7064.0,329.36,62.29,1.18,58.7641,1.1134,86,306.0,1
-100.80434782608695,0.0754855,6.0,0.1256717,17.0,16.34,20.145,386088.0,4666.0,247.38,65.2,1.57,61.5094,1.4812,105,297.0,1
-101.0,0.0678668,6.0,0.1297354,17.0,25.91,18.41,384168.0,7331.0,399.42,63.35,3.19,59.7641,3.0097,67,304.0,1
-101.0,0.0609596,6.0,0.1422984,17.0,24.4,17.395,382951.0,4828.0,362.79,64.14,2.44,60.5094,2.3018,102,306.0,1
-101.0,0.0548113999999999,6.0,0.1511272,16.26,16.1,18.695,382951.0,7156.0,351.57,64.14,2.63,60.5094,2.4812,104,305.0,1
-101.0,0.0492262,6.19,0.1543,15.25,20.04,18.25,398313.0,6358.0,300.57,63.62,1.47,60.0188,1.3867000000000005,91,308.0,1
-101.0,0.044258,7.0,0.1470229,15.0,20.53,18.445,429221.0,5570.0,252.76,63.87,1.39,60.2547,1.3115,97,265.0,1
-101.0,0.0397545999999999,7.0,0.1333834,15.0,19.53,22.77,440168.0,5873.0,289.37,64.41,1.26,60.7641,1.1887,85,332.0,1
-101.0,0.0361223,7.0,0.119784,15.0,22.65,21.04,432870.0,6239.0,338.7,62.81,1.63,59.2547,1.5379000000000005,98,315.0,1
-101.0,0.033725,7.0,0.1119555,15.0,24.35,21.33,434167.0,5793.0,358.91,64.41,1.26,60.7641,1.1888999999999998,77,274.0,1
-101.0,0.0303214,7.0,0.1107632,15.0,22.78,20.11,440168.0,6432.0,304.97,65.2,1.78,61.5094,1.6795,110,309.0,1
-101.0,0.027236,7.0,0.1014628,15.0,19.85,18.9,440168.0,6184.0,307.37,64.14,2.1,60.5094,1.9814,90,323.0,1
-101.0,0.0244862999999999,7.0,0.0911158,15.0,17.23,20.085,429221.0,5198.0,243.11,63.08,1.37,59.5094,1.2926,98,307.0,1
-101.1505376344086,0.0219862999999999,7.0,0.0819160999999999,15.0,19.18,21.555,438744.0,5730.0,266.05,65.47,1.29,61.7641,1.2170999999999998,90,298.0,1
-102.0,0.0197672,7.0,0.0735588,15.0,23.39,19.4,440168.0,6155.0,312.56,65.2,2.22,61.5094,2.0942000000000003,94,309.0,1
-102.0,0.0177544,7.0,0.0820119999999999,15.0,21.11,19.24,432870.0,5816.0,280.87,64.14,0.43,60.5094,0.4057,104,313.0,1
-102.0,0.0159625,7.0,0.0754139999999999,15.0,17.31,18.72,437816.0,5173.0,230.32,65.2,1.54,61.5094,1.4529,96,287.0,1
-102.0,0.0143536,7.0,0.0681675999999999,15.0,21.02,18.91,436519.0,5861.0,278.56,64.41,1.27,60.7641,1.1982000000000002,94,327.0,1
-102.0,0.0128907999999999,7.0,0.0609532,15.0,16.9,19.01,440168.0,6483.0,293.68,63.87,2.17,60.2547,2.0473,88,287.0,1
-102.0,0.0115881,7.0,0.0553384,15.0,16.0,19.48,429221.0,7651.0,373.49,62.56,1.64,59.0188,1.5473,91,305.0,1
-101.17,0.0104072,7.0,0.0543333999999999,15.0,23.0,17.67,441465.0,6092.0,289.86,67.32,2.29,63.5094,2.1604,95,250.0,1
-101.0,0.0093485999999999,7.0,0.0593652,15.0,19.79,20.625,443817.0,5876.0,284.25,63.35,0.99,59.7641,0.9341,97,362.0,1
-101.0,0.0084027999999999,7.0,0.0593165999999999,15.0,15.17,22.175,429221.0,5998.0,278.39,63.08,1.44,59.5094,1.3587,89,311.0,1
-101.0,0.0075545,7.0,0.0538035999999999,15.0,19.62,22.9,436519.0,5575.0,270.76,63.62,1.43,60.0188,1.349,90,292.0,1
-101.0,0.0067863,7.0,0.0532648999999999,15.0,16.36,21.625,441465.0,5348.0,244.97,67.32,1.57,63.5094,1.4812,99,285.0,1
-101.0,0.0061028,7.0,0.0481965,15.95,16.13,22.23,436519.0,5132.0,237.48,62.29,0.63,58.7641,0.5943999999999999,75,334.0,1
-101.0,0.00548,7.0,0.0433316,16.96,21.66,20.865,429221.0,6075.0,319.25,62.29,2.0,58.7641,1.887,108,272.0,1
-101.0,0.0049248,7.0,0.0519795999999999,17.0,24.99,18.42,437367.0,6864.0,400.57,62.56,0.45,59.0188,0.4245999999999999,94,288.0,1
-101.0,0.0044261999999999,7.0,0.0668585999999999,17.0,17.7,20.31,445194.0,4670.0,247.04,66.26,1.24,62.5094,1.1699,115,341.0,1
-101.0,0.0039777999999999,7.0,0.0735799999999999,17.0,24.03,20.155,429221.0,6596.0,374.21,62.29,2.75,58.7641,2.5945,86,302.0,1
-101.0,0.0035765,7.0,0.07703,17.0,18.87,19.43,436519.0,5489.0,276.56,64.14,1.59,60.5094,1.5001,102,313.0,1
-101.0,0.0032162,7.0,0.091392,17.0,23.95,20.075,445114.0,6614.0,419.72,65.47,2.82,61.7641,2.6605000000000003,74,311.0,1
-101.0,0.0028901999999999,7.0,0.106202,17.0,24.15,22.18,432870.0,7083.0,401.31,64.14,1.11,60.5094,1.0473,24,301.0,1
-101.0,0.0025919999999999,7.0,0.1094605,17.0,21.21,21.405,432870.0,6010.0,305.16,64.14,1.78,60.5094,1.6794,10,291.0,1
-101.0,0.0023275,7.0,0.1110491999999999,17.0,18.45,21.62,440168.0,5668.0,271.9,63.35,0.88,59.7641,0.8303,39,317.0,1
-101.0,0.0020914,7.0,0.1131378,17.0,15.78,22.495,441465.0,6783.0,318.7,65.2,1.96,61.5094,1.8492,11,304.0,1
-101.0,0.0018819999999999,7.0,0.1075184,17.0,24.1,19.045,429221.0,5708.0,354.08,62.29,2.51,58.7641,2.3680000000000003,60,304.0,1
-101.0,0.0016911999999999,7.0,0.1173871999999999,17.0,17.25,19.0,440168.0,4391.0,285.04,65.99,1.85,62.2547,1.7455,83,305.0,1
-101.0,0.0015227999999999,7.0,0.1391754999999999,16.95,22.79,18.185,436519.0,6129.0,332.12,63.62,2.11,60.0188,1.9906,90,305.0,1
-101.97849462365592,0.0013664999999999,7.0,0.1573838,15.93,18.42,17.965,437816.0,5991.0,290.26,66.26,1.82,62.5094,1.7172,93,297.0,1
-102.0,0.001229,7.0,0.1521464,15.0,22.56,18.19,433798.0,5482.0,305.87,64.41,0.76,60.7641,0.7169,90,262.0,1
-102.0,0.0011036,7.0,0.14158,15.0,19.34,19.155,440168.0,5837.0,278.93,65.47,1.88,61.7641,1.7738,87,362.0,1
-102.0,0.0009897,7.0,0.1278728999999999,15.0,18.03,22.3,437816.0,5357.0,246.36,65.2,1.64,61.5094,1.5472,80,300.0,1
-102.0,0.0008924999999999,7.0,0.1195257,15.0,18.88,21.735,432870.0,5767.0,296.0,65.2,1.88,61.5094,1.7737,86,305.0,1
-102.0,0.0008016,7.0,0.1074639999999999,15.0,20.7,22.55,436519.0,6086.0,287.76,64.14,1.2,60.5094,1.1322,91,299.0,1
-102.0,0.0007184,7.0,0.0965203999999999,15.0,20.5,21.71,440168.0,6607.0,270.69,64.14,2.32,60.5094,2.1887,85,321.0,1
-102.0,0.0006447,7.0,0.0886693,15.0,22.18,18.745,434167.0,4913.0,318.66,64.41,0.88,60.7641,0.8303,79,294.0,1
-102.0,0.000582,7.0,0.0939159,15.0,28.39,16.98,440168.0,6444.0,405.29,64.41,4.64,60.7641,4.3774,73,295.0,1
-102.0,0.0005207999999999,7.0,0.1096142999999999,15.0,19.77,22.005,440168.0,5775.0,279.02,64.93,2.29,61.2547,2.1605000000000003,76,294.0,1
-102.0,0.000468,7.0,0.1124778,15.0,16.76,19.545,429221.0,4810.0,236.94,63.35,1.09,59.7641,1.0285,98,313.0,1
-102.0,0.0004169999999999,7.0,0.1022808,15.0,22.26,18.34,445114.0,6510.0,307.28,67.59,2.11,63.7641,1.9907,90,278.0,1
-102.0,0.0003752,7.0,0.0987375,15.0,18.35,17.77,440168.0,5646.0,293.44,64.41,1.56,60.7641,1.4718,87,328.0,1
-102.0,0.0003436,7.0,0.0984182999999999,15.0,21.16,23.615,429221.0,5548.0,265.13,63.08,1.49,59.5094,1.4057,88,302.0,1
-102.0,0.000304,7.0,0.09232,15.0,18.43,20.235,419122.0,5549.0,271.97,60.44,1.23,57.0188,1.1605,80,143.0,1
-102.0,0.0033121,7.0,0.082915,15.0,18.07,22.645,441545.0,6961.0,309.88,67.32,1.58,63.5094,1.4909,97,77.0,1
-102.0,0.0032659,7.0,0.0763688999999999,15.0,27.09,17.2,436519.0,6108.0,372.01,63.08,3.09,59.5094,2.9151,86,10.0,1
-102.57,0.0029391999999999,7.0,0.0727168,15.0,21.26,26.595,432870.0,6376.0,285.38,64.14,1.95,60.5094,1.8396,78,133.0,1
-103.0,0.0026416,7.0,0.067202,15.0,15.39,22.405,441465.0,7439.0,344.25,65.47,1.48,61.7641,1.3963,100,6.0,1
-103.0,0.0023778,7.0,0.0640196,15.0,20.33,24.12,440168.0,6325.0,302.05,64.14,2.66,60.5094,2.5097,90,275.0,1
-103.0,0.0021324,7.0,0.0595054,15.0,26.41,16.53,307876.0,5510.0,372.42,45.85,1.4,43.2547,1.3209,93,251.0,1
-103.0,0.0199128999999999,7.0,0.0643348,15.0,7.51,18.27,103100.0,2026.0,72.86,15.9,0.91,15.0,0.8588,98,278.0,1
-103.0,0.0993337999999999,7.0,0.07791,15.0,6.5,20.25,109470.0,1344.0,34.47,14.84,0.25,14.0,0.236,94,281.0,1
-103.0,0.1831094,6.18,0.0824036,15.0,23.05,19.315,94621.0,6046.0,282.34,12.72,0.34,12.0,0.3209,87,258.0,1
-103.48,0.2644743,6.0,0.08887,15.0,5.45,30.83,102432.0,969.0,22.28,15.9,0.1,15.0,0.0944,92,289.0,1
-106.96774193548389,0.3453365,6.0,0.0841582999999999,15.0,11.95,34.01,222501.0,2928.0,119.42,36.58,0.05,34.5094,0.0472,76,283.0,1
-108.0,0.3395911999999998,6.0,0.07848,15.0,24.07,22.615,387305.0,5932.0,344.71,65.2,2.19,61.5094,2.0660000000000003,85,275.0,1
-108.33,0.306967,6.0,0.0761592,15.0,19.95,18.65,376549.0,5605.0,266.3,62.29,1.44,58.7641,1.3586,108,267.0,1
-109.0,0.277466,6.0,0.074183,15.0,19.84,17.64,383767.0,5832.0,277.72,65.99,1.32,62.2547,1.2453,80,265.0,1
-109.0,0.2490622,6.0,0.0719834,15.0,17.18,21.895,384104.0,5242.0,240.19,64.14,1.87,60.5094,1.7643,90,280.0,1
-109.0,0.2236654999999999,6.0,0.070033,15.0,19.53,20.505,379750.0,5354.0,279.44,64.41,0.84,60.7641,0.7924,92,272.0,1
-109.4,0.20107,6.0,0.0790878,15.0,19.92,19.89,386152.0,5725.0,272.34,64.93,1.69,61.2547,1.5944,77,239.0,1
-110.0,0.1807703,6.0,0.0825055999999999,15.0,15.3,18.205,382951.0,5616.0,296.55,62.29,0.88,58.7641,0.8303999999999999,112,306.0,1
-110.0,0.1623302,6.0,0.0805067999999999,15.0,26.24,23.415,380903.0,6118.0,351.45,66.26,2.0,62.5094,1.887,90,247.0,1
-110.0,0.1457059999999999,6.0,0.0805602,15.0,17.48,20.28,373348.0,4917.0,259.84,63.35,1.57,59.7641,1.4813,83,272.0,1
-110.0,0.1343258999999999,6.0,0.0779759999999999,15.0,15.87,19.8,386152.0,4809.0,234.08,63.35,1.55,59.7641,1.4624,103,284.0,1
-110.0,0.1206535,6.0,0.0754176999999999,15.0,17.23,23.055,376549.0,6785.0,314.1,62.29,1.36,58.7641,1.283,68,260.0,1
-110.19354838709675,0.1090111999999999,6.0,0.0697764999999999,15.0,20.1,20.925,354479.0,5609.0,274.85,59.9,1.79,56.5094,1.6888,113,317.0,1
-112.0,0.1062924,6.0,0.062665,15.0,20.67,21.4,386152.0,6038.0,268.78,63.62,1.35,60.0188,1.2736999999999998,103,278.0,1
-112.0,0.095466,6.0,0.0563401999999999,15.0,19.88,20.735,376549.0,6129.0,284.72,63.08,1.91,59.5094,1.802,97,266.0,1
-112.0,0.0858352,6.0,0.0505976,15.68,16.26,20.135,380502.0,4794.0,218.89,63.35,1.03,59.7641,0.9718,90,356.0,1
