RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_SNR,PRB_Utilization_DL,PRB_Utilization_UL
-101.0,0.05314,7.0,0.1423399,6.0,21.82,0.0,0.0472
-101.0,0.0513346,7.0,0.1279679999999999,6.0,21.67,0.0472,0.0
-101.0,0.04783,7.0,0.1150502,6.0,21.74,0.0472,0.0
-101.0,0.0436235999999999,7.0,0.11146,6.0,21.11,0.0,0.0472
-101.0,0.0430499999999999,7.0,0.1009789999999999,6.0,19.65,0.0,0.0472
-101.0,0.0425758999999999,7.0,0.0907815,6.0,18.865,1.3301999999999998,8.0568
-101.0,0.0379273,7.0,0.0815209,6.0,20.295,39.9718,16.1323
-101.0,0.0343222,7.0,0.0732924,6.0,19.95,44.6887,11.226400000000002
-101.0,0.0316995999999999,7.0,0.0657541,6.0,20.455,26.7267,28.9714
-101.0,0.0284124999999999,7.0,0.0590523999999999,6.0,20.445,41.4905,17.5093
-101.09782608695652,0.0255226,7.0,0.0530968,6.04,20.985,57.8397,15.4151
-102.0,0.0229492,7.0,0.047692,7.06,20.695,46.6038,16.8492
-102.0,0.0209304999999999,7.0,0.0428775999999999,8.07,20.775,41.5566,14.0754
-102.0,0.0187189,7.0,0.0385108,9.09,21.205,61.3208,13.245
-102.0,0.0168832,7.0,0.03463,10.1,20.525,36.3962,13.7926
-102.0,0.015118,7.0,0.031291,11.06,20.27,53.5094,9.8684
-102.0,0.0135925,7.0,0.0281036,12.08,20.3,46.5094,4.9338
-102.0,0.01255,7.0,0.0251429999999999,13.14,23.13,27.4151,6.886699999999999
-102.0,0.0123358,7.0,0.0225819999999999,14.16,18.46,0.0,10.0184
-102.0,0.0110639999999999,7.0,0.0202998,15.17,20.545,42.3868,1.7455
-102.0,0.0099479,7.0,0.0239395999999999,16.18,20.4,36.3113,6.5379
-102.0,0.0089383999999999,7.0,0.05424,17.0,18.435,62.7641,9.0757
-102.0,0.0080332,7.0,0.0827064,17.0,19.575,31.0945,8.151299999999999
-102.0,0.0072175999999999,7.0,0.1116885999999999,17.0,20.33,59.7641,0.3868999999999999
-102.0,0.0064891,7.0,0.1463827,16.81,19.335,27.1133,1.4435
-102.0,0.0058319999999999,7.0,0.1823328,15.74,21.975,52.3113,0.5851
-101.67,0.005292,7.0,0.1827700999999999,14.73,19.27,21.9811,2.2832
-101.0,0.00486,7.0,0.1773899999999999,14.0,16.465,5.0472,0.0944
-101.0,0.0044630999999999,7.0,0.171335,13.3,17.75,2.5283,0.0
-101.0,0.0043699999999999,7.0,0.1601362999999999,12.49,19.265,0.0,0.0
-101.0,0.0043699999999999,7.0,0.1438192999999999,11.47,18.76,0.0,0.0472
-101.0,0.0040389,7.0,0.1292982,10.46,18.25,0.0472,0.0472
-101.0,0.003872,7.0,0.1162449999999999,9.45,17.66,0.0472,0.0
-101.0,0.00354,7.0,0.1077211,9.0,15.735,0.0,0.0472
-101.0,0.00354,7.0,0.0968511999999999,9.0,11.98,0.0,0.0
-101.0,0.00354,7.0,0.0869889999999999,9.0,13.75,0.0,0.0472
-101.0,0.00354,7.0,0.0782083,9.0,15.31,0.0,0.0472
-96.0,0.00354,7.0,0.0509926999999999,9.0,20.08,0.0,0.0472
-96.0,0.003225,7.0,0.0458473999999999,9.0,21.1,0.0,0.0472
-96.0,0.00319,7.0,0.0412168999999999,9.0,14.5,0.0,0.6509999999999999
-96.0,0.0030747999999999,7.0,0.0575173999999999,9.0,18.54,0.0,0.0944
-96.18,0.0028699999999999,7.0,0.0811826,9.0,24.555,0.0,0.0472
-97.0,0.0028699999999999,7.0,0.0729891,9.0,20.82,0.0,0.0472
